Date,AHT.L,RTO.L,ABF.L,STJ.L,BATS.L,SMT.L,PRU.L,SMIN.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,TSCO.L,RR.L,ANTO.L
2004-11-15,71.02660369873047,159.5,722.0,187.5,865.5,65.30000305175781,354.1003112792969,1169.2493896484375,662.8458862304688,793.5,248.25,170.15789794921875,696.5,381.2665100097656,91.62590026855469,220.0
2004-11-16,71.48780059814453,159.25,723.0,188.0,857.5,64.4000015258789,349.95880126953125,1166.2493896484375,665.5382080078125,798.0,246.0,169.20460510253906,681.0,380.6330871582031,91.1968994140625,217.1999969482422
2004-11-17,73.56330108642578,159.25,725.0,190.0,872.5,65.5999984741211,349.95880126953125,1173.7493896484375,664.4613037109375,793.0,251.0,171.34950256347656,689.5,379.3664855957031,92.31220245361328,226.0
2004-11-18,73.79389953613281,159.0,728.5,191.75,875.0,65.69999694824219,348.0950927734375,1169.2493896484375,663.9227905273438,808.0,241.75,174.9241943359375,688.5,380.3164978027344,91.28269958496094,222.0
2004-11-19,73.56330108642578,159.25,733.5,190.0,867.0,64.80000305175781,347.0596923828125,1157.2493896484375,655.8458862304688,815.0,237.5,172.18359375,697.0,375.8830871582031,91.11109924316406,223.60000610351562
2004-11-22,72.41020202636719,157.5,731.5,191.0,855.0,64.25,343.1252136230469,1153.4993896484375,635.3843994140625,817.5,240.0,172.18359375,680.0,374.2998046875,90.08159637451172,222.0
2004-11-23,72.87149810791016,157.5,733.0,195.0,857.0,64.6500015258789,343.1252136230469,1150.4993896484375,647.2305297851562,818.0,241.25,171.94529724121094,682.0,374.93310546875,90.93949890136719,220.60000610351562
2004-11-24,75.17749786376953,157.0,735.0,196.0,857.0,64.69999694824219,343.7464904785156,1146.7493896484375,654.7689819335938,815.5,244.5,170.3961944580078,682.0,377.46649169921875,91.28269958496094,223.0
2004-11-25,74.48570251464844,156.5,738.0,196.75,880.5,64.75,345.4031066894531,1153.4993896484375,662.8458862304688,818.0,244.5,171.34950256347656,683.0,391.0830993652344,91.71160125732422,227.0
2004-11-26,73.33270263671875,154.5,741.5,200.0,881.0,64.44999694824219,347.4739074707031,1154.9993896484375,662.307373046875,818.0,243.0,170.3961944580078,685.5,386.96649169921875,90.76789855957031,228.39999389648438
