Date,ABT,ATVI,ALK,ALB,LNT,AEE,AEP,AXP,AIG,AME,AMGN,APH,AOS,APA,AMAT,ADM,T,AVY,BLL,DUK,EA
2010-11-15,23.107168197631836,11.579999923706055,13.512499809265137,52.13999938964844,18.399999618530273,29.59000015258789,36.43000030517578,42.70000076293945,42.41999816894531,24.50666618347168,54.5099983215332,12.585000038146973,9.588333129882812,107.62999725341797,12.609999656677246,30.190000534057617,28.6299991607666,36.7400016784668,16.322500228881836,53.220001220703125,15.680000305175781
2010-11-16,22.867267608642578,11.479999542236328,13.542499542236328,51.18000030517578,18.020000457763672,29.299999237060547,35.939998626708984,41.93000030517578,41.709999084472656,24.128889083862305,54.029998779296875,12.242500305175781,9.412500381469727,105.26000213623047,12.460000038146973,29.579999923706055,28.239999771118164,36.040000915527344,16.122499465942383,52.83000183105469,15.390000343322754
2010-11-17,22.93444061279297,11.619999885559082,13.225000381469727,51.2400016784668,18.125,29.229999542236328,35.720001220703125,41.40999984741211,41.779998779296875,24.324443817138672,53.869998931884766,12.267499923706055,9.467499732971191,105.79000091552734,12.380000114440918,29.520000457763672,27.959999084472656,36.2599983215332,16.100000381469727,52.77000045776367,15.420000076293945
2010-11-18,22.84807586669922,11.720000267028809,13.53499984741211,52.79999923706055,18.30500030517578,29.43000030517578,36.060001373291016,42.25,42.560001373291016,24.782222747802734,55.13999938964844,12.609999656677246,9.40999984741211,108.22000122070312,12.649999618530273,29.790000915527344,28.440000534057617,37.06999969482422,16.360000610351562,53.06999969482422,15.539999961853027
2010-11-19,22.74251937866211,11.680000305175781,13.757499694824219,53.47999954223633,18.145000457763672,29.18000030517578,35.75,42.75,42.72999954223633,24.799999237060547,55.0,12.8100004196167,9.387499809265137,109.11000061035156,12.529999732971191,29.65999984741211,28.31999969482422,37.720001220703125,16.362499237060547,52.83000183105469,15.350000381469727
2010-11-22,22.670549392700195,11.789999961853027,13.862500190734863,53.93000030517578,18.155000686645508,29.329999923706055,35.9900016784668,42.220001220703125,42.13999938964844,25.253332138061523,54.7400016784668,12.767499923706055,9.270000457763672,108.33999633789062,12.529999732971191,29.670000076293945,28.290000915527344,37.720001220703125,16.424999237060547,52.97999954223633,15.40999984741211
2010-11-23,22.526609420776367,11.59000015258789,13.657500267028809,52.900001525878906,18.010000228881836,29.040000915527344,35.68000030517578,41.95000076293945,40.849998474121094,25.15999984741211,53.599998474121094,12.417499542236328,9.192500114440918,105.4800033569336,12.40999984741211,29.09000015258789,28.030000686645508,37.52000045776367,16.082500457763672,52.709999084472656,14.850000381469727
2010-11-24,22.531408309936523,11.739999771118164,14.0,54.54999923706055,18.225000381469727,29.040000915527344,36.02000045776367,43.0,41.7599983215332,25.995555877685547,53.83000183105469,12.767499923706055,9.362500190734863,108.45999908447266,12.59000015258789,29.479999542236328,28.139999389648438,38.40999984741211,16.375,52.97999954223633,14.979999542236328
2010-11-26,22.454639434814453,11.760000228881836,13.979999542236328,54.11000061035156,18.15999984741211,28.90999984741211,35.849998474121094,42.27000045776367,41.25,25.866666793823242,53.560001373291016,12.65999984741211,9.345000267028809,107.19000244140625,12.529999732971191,29.209999084472656,27.93000030517578,38.16999816894531,16.217500686645508,52.560001373291016,14.819999694824219
2010-11-29,22.3059024810791,11.739999771118164,13.875,54.29999923706055,18.18000030517578,28.75,35.68000030517578,43.33000183105469,41.529998779296875,25.822221755981445,53.31999969482422,12.65250015258789,9.267499923706055,108.41999816894531,12.520000457763672,28.8799991607666,27.700000762939453,37.779998779296875,16.137500762939453,52.529998779296875,15.010000228881836
