Date,SLAB,FNLC,CVCO,BBI,FARM,NVCN,FARO,BBQ,OPTT,EXAS,SCOR,ATEC
2015-12-01,53.97999954223633,22.5,92.55000305175781,35.0,29.549999237060547,4500.0,30.030000686645508,7.840000152587891,49.599998474121094,9.109999656677246,43.52000045776367,2.880000114440918
2015-12-02,53.93000030517578,22.270000457763672,90.9000015258789,33.599998474121094,29.1200008392334,4280.0,29.860000610351562,7.900000095367432,53.599998474121094,8.850000381469727,44.459999084472656,2.880000114440918
2015-12-03,53.08000183105469,21.969999313354492,89.25,30.799999237060547,29.479999542236328,4170.0,29.65999984741211,7.889999866485596,52.400001525878906,8.479999542236328,44.0,2.880000114440918
2015-12-04,54.310001373291016,22.170000076293945,91.06999969482422,31.5,30.389999389648438,4140.0,29.979999542236328,7.800000190734863,51.400001525878906,8.59000015258789,43.560001373291016,2.759999990463257
2015-12-07,54.29999923706055,21.56999969482422,89.80000305175781,30.100000381469727,30.719999313354492,4000.0,29.540000915527344,7.619999885559082,48.20000076293945,8.220000267028809,43.36000061035156,2.759999990463257
2015-12-08,53.15999984741211,21.200000762939453,87.20999908447266,30.100000381469727,31.979999542236328,4110.0,29.510000228881836,7.789999961853027,50.79999923706055,8.40999984741211,42.380001068115234,3.0
2015-12-09,52.369998931884766,21.299999237060547,84.2699966430664,28.700000762939453,32.0099983215332,4150.0,28.959999084472656,7.949999809265137,53.0,8.0600004196167,41.5099983215332,2.880000114440918
2015-12-10,52.470001220703125,20.790000915527344,84.20999908447266,29.399999618530273,31.940000534057617,4520.0,28.860000610351562,7.610000133514404,52.0,8.180000305175781,40.72999954223633,2.880000114440918
2015-12-11,52.0,19.90999984741211,82.2300033569336,28.0,31.799999237060547,4250.0,27.780000686645508,7.480000019073486,53.0,8.010000228881836,38.91999816894531,2.759999990463257
2015-12-14,51.529998779296875,20.280000686645508,81.47000122070312,27.299999237060547,31.709999084472656,4040.0,27.6299991607666,7.139999866485596,50.599998474121094,8.0,37.4900016784668,2.2799999713897705
